follow,left,filename,triggernum,triggername
True,True,E101_mask.png,211,egg_follow_left_E101
True,False,E101_mask.png,212,egg_follow_right_E101
False,True,E101_mask.png,221,egg_fix_left_E101
False,False,E101_mask.png,222,egg_fix_right_E101
True,True,E132_mask.png,211,egg_follow_left_E132
True,False,E132_mask.png,212,egg_follow_right_E132
False,True,E132_mask.png,221,egg_fix_left_E132
False,False,E132_mask.png,222,egg_fix_right_E132
True,True,F069_mask.png,111,face_follow_left_F069
True,False,F069_mask.png,112,face_follow_right_F069
False,True,F069_mask.png,121,face_fix_left_F069
False,False,F069_mask.png,122,face_fix_right_F069
True,True,F075_mask.png,111,face_follow_left_F075
True,False,F075_mask.png,112,face_follow_right_F075
False,True,F075_mask.png,121,face_fix_left_F075
False,False,F075_mask.png,122,face_fix_right_F075
True,True,E010_mask.png,211,egg_follow_left_E010
True,False,E010_mask.png,212,egg_follow_right_E010
False,True,E010_mask.png,221,egg_fix_left_E010
False,False,E010_mask.png,222,egg_fix_right_E010
True,True,E093_mask.png,211,egg_follow_left_E093
True,False,E093_mask.png,212,egg_follow_right_E093
False,True,E093_mask.png,221,egg_fix_left_E093
False,False,E093_mask.png,222,egg_fix_right_E093
True,True,F043_mask.png,111,face_follow_left_F043
True,False,F043_mask.png,112,face_follow_right_F043
False,True,F043_mask.png,121,face_fix_left_F043
False,False,F043_mask.png,122,face_fix_right_F043
True,True,E001_mask.png,211,egg_follow_left_E001
True,False,E001_mask.png,212,egg_follow_right_E001
False,True,E001_mask.png,221,egg_fix_left_E001
False,False,E001_mask.png,222,egg_fix_right_E001
True,True,F041_mask.png,111,face_follow_left_F041
True,False,F041_mask.png,112,face_follow_right_F041
False,True,F041_mask.png,121,face_fix_left_F041
False,False,F041_mask.png,122,face_fix_right_F041
True,True,F064_mask.png,111,face_follow_left_F064
True,False,F064_mask.png,112,face_follow_right_F064
False,True,F064_mask.png,121,face_fix_left_F064
False,False,F064_mask.png,122,face_fix_right_F064
True,True,E065_mask.png,211,egg_follow_left_E065
